,uris,names,artist_names,artist_uris,artist_pop,artist_genres,albums,track_pop,danceability,energy,keys,loudness,modes,speechiness,acousticness,instrumentalness,liveness,valences,tempos,types,ids,track_hrefs,analysis_urls,durations_ms,time_signatures,playlist_name
89,1PsVXsO6HRsuvjkw2moEzZ,Take Me Home,DREAMERS,1FgsVeOhRYuSw2ghkIXV0A,51,"['modern alternative rock', 'modern rock', 'pov: indie']",LAUNCH FLY LAND,22,0.539,0.579,0,-6.396,1,0.035,0.00101,6.11e-06,0.477,0.232,125.938,audio_features,1PsVXsO6HRsuvjkw2moEzZ,https://api.spotify.com/v1/tracks/1PsVXsO6HRsuvjkw2moEzZ,https://api.spotify.com/v1/audio-analysis/1PsVXsO6HRsuvjkw2moEzZ,236880,4,Motivate
90,3wVBWs8oC6U9aAuFQBu3S1,Them Dirty Bones,Mike Waters,35rZNMlMkBs7ghHmGKt0xq,42,['folk-pop'],Them Dirty Bones,40,0.62,0.695,8,-8.22,1,0.0311,0.0709,0.0,0.092,0.543,97.997,audio_features,3wVBWs8oC6U9aAuFQBu3S1,https://api.spotify.com/v1/tracks/3wVBWs8oC6U9aAuFQBu3S1,https://api.spotify.com/v1/audio-analysis/3wVBWs8oC6U9aAuFQBu3S1,225405,4,Motivate
91,22EDx3eNzH4U7DMNDli1eC,Words of the Wise,Truslow,0zBShgJCo19qQZtM0CZxJv,39,"['christian rock', 'indie rockism']",Truslow,45,0.539,0.739,0,-6.038,1,0.0335,0.147,1.6e-06,0.505,0.486,137.103,audio_features,22EDx3eNzH4U7DMNDli1eC,https://api.spotify.com/v1/tracks/22EDx3eNzH4U7DMNDli1eC,https://api.spotify.com/v1/audio-analysis/22EDx3eNzH4U7DMNDli1eC,185693,4,Motivate
92,4aPeeN8IYOCMNBGI0p7169,Hey Gringo,KALEO,7jdFEYD2LTYjfwxOdlVjmc,69,"['icelandic indie', 'icelandic rock', 'modern alternative rock']",Surface Sounds,61,0.748,0.704,5,-4.512,0,0.0344,0.0741,0.0,0.088,0.823,110.028,audio_features,4aPeeN8IYOCMNBGI0p7169,https://api.spotify.com/v1/tracks/4aPeeN8IYOCMNBGI0p7169,https://api.spotify.com/v1/audio-analysis/4aPeeN8IYOCMNBGI0p7169,284799,4,Motivate
93,39CyGsoGoW4yayA731IP4s,We'll Be Dancing Soon,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,68,"['belgian dance', 'belgian edm', 'big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']",We'll Be Dancing Soon,49,0.763,0.853,9,-4.538,0,0.17,0.0565,2.62e-06,0.149,0.501,119.958,audio_features,39CyGsoGoW4yayA731IP4s,https://api.spotify.com/v1/tracks/39CyGsoGoW4yayA731IP4s,https://api.spotify.com/v1/audio-analysis/39CyGsoGoW4yayA731IP4s,158312,4,Motivate
94,72tFpETiYCd5dOrxt8mjq1,Arcade - Sam Feldt Remix,Duncan Laurence,3klZnJvYGIbWritVwQD434,66,['dutch pop'],Arcade (Sam Feldt Remix),42,0.48,0.714,0,-7.708,1,0.0419,0.174,0.0059,0.0725,0.564,172.058,audio_features,72tFpETiYCd5dOrxt8mjq1,https://api.spotify.com/v1/tracks/72tFpETiYCd5dOrxt8mjq1,https://api.spotify.com/v1/audio-analysis/72tFpETiYCd5dOrxt8mjq1,153488,4,Motivate
95,1D5BuoAA7BwQyBQ6KDsxbF,One More Time (feat. Alida) - Klingande Remix,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,76,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",One More Time (feat. Alida) [Klingande Remix],43,0.489,0.725,0,-5.883,0,0.0825,0.0126,0.0,0.505,0.275,125.818,audio_features,1D5BuoAA7BwQyBQ6KDsxbF,https://api.spotify.com/v1/tracks/1D5BuoAA7BwQyBQ6KDsxbF,https://api.spotify.com/v1/audio-analysis/1D5BuoAA7BwQyBQ6KDsxbF,165000,4,Motivate
96,2ciyDbj8f6VA6uxXZ9Fr8p,Pues (with Luis Fonsi & Sean Paul),R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,75,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']",Pues (with Luis Fonsi & Sean Paul),10,0.757,0.771,9,-3.702,0,0.203,0.153,0.0,0.514,0.679,92.026,audio_features,2ciyDbj8f6VA6uxXZ9Fr8p,https://api.spotify.com/v1/tracks/2ciyDbj8f6VA6uxXZ9Fr8p,https://api.spotify.com/v1/audio-analysis/2ciyDbj8f6VA6uxXZ9Fr8p,126929,4,Motivate
97,01UYpHuzHi4eB9PAbDoPY2,Summer Breeze,Seals and Crofts,6jdObwsrIjSRnBbMw6lPBj,55,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",Seals & Crofts' Greatest Hits,65,0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718,audio_features,01UYpHuzHi4eB9PAbDoPY2,https://api.spotify.com/v1/tracks/01UYpHuzHi4eB9PAbDoPY2,https://api.spotify.com/v1/audio-analysis/01UYpHuzHi4eB9PAbDoPY2,205480,4,Motivate
98,7Cuk8jsPPoNYQWXK9XRFvG,September,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,72,"['disco', 'funk', 'jazz funk', 'soul']",September,68,0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,audio_features,7Cuk8jsPPoNYQWXK9XRFvG,https://api.spotify.com/v1/tracks/7Cuk8jsPPoNYQWXK9XRFvG,https://api.spotify.com/v1/audio-analysis/7Cuk8jsPPoNYQWXK9XRFvG,215080,4,Motivate
