,uris,names,artist_names,artist_uris,artist_pop,artist_genres,albums,track_pop,danceability,energy,keys,loudness,modes,speechiness,acousticness,instrumentalness,liveness,valences,tempos,types,ids,track_hrefs,analysis_urls,durations_ms,time_signatures,playlist_name
10,0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,82,['pov: indie'],Stick Season,91,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,audio_features,0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4,Hot Hits Australia
11,59NraMJsLaMCVtwXTSia8i,Prada,cassö,5wCmhq5J2hPwL2r0eKurxn,73,[],Prada,94,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4,Hot Hits Australia
12,672pbi6q4UuyJYIuThNsq3,Give You Love (feat. Jason Derulo),Jessica Mauboy,6rHWAH6F4mr2AViSxMV673,51,"['australian indigenous music', 'australian pop', 'australian talent show']",Give You Love (feat. Jason Derulo),69,0.678,0.635,10,-4.275,1,0.0406,0.385,0.0,0.251,0.603,96.008,audio_features,672pbi6q4UuyJYIuThNsq3,https://api.spotify.com/v1/tracks/672pbi6q4UuyJYIuThNsq3,https://api.spotify.com/v1/audio-analysis/672pbi6q4UuyJYIuThNsq3,174029,4,Hot Hits Australia
13,0rKWJnmo6Q0ovoPOLoLm0t,TOO MUCH,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,80,['australian hip hop'],TOO MUCH,91,0.758,0.703,10,-5.979,0,0.172,0.252,0.0,0.146,0.465,94.985,audio_features,0rKWJnmo6Q0ovoPOLoLm0t,https://api.spotify.com/v1/tracks/0rKWJnmo6Q0ovoPOLoLm0t,https://api.spotify.com/v1/audio-analysis/0rKWJnmo6Q0ovoPOLoLm0t,203939,4,Hot Hits Australia
14,1Iq8oo9XkmmvCQiGOfORiz,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,06HL4z0CvFAxyc27GXpf02,100,['pop'],1989 (Taylor's Version),94,0.596,0.658,0,-7.346,1,0.036,0.0504,0.0,0.127,0.176,100.012,audio_features,1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/tracks/1Iq8oo9XkmmvCQiGOfORiz,https://api.spotify.com/v1/audio-analysis/1Iq8oo9XkmmvCQiGOfORiz,229478,4,Hot Hits Australia
15,5mjYQaktjmjcMKcUIcqz4s,Strangers,Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2,76,['singer-songwriter pop'],Strangers,98,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965,4,Hot Hits Australia
16,5Eh1nj7IjV9lwpcKAkidyY,One Of Your Girls,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,78,"['australian pop', 'pop', 'viral pop']",Something To Give Each Other,88,0.629,0.654,11,-7.852,0,0.0584,0.0878,0.00655,0.22,0.799,93.034,audio_features,5Eh1nj7IjV9lwpcKAkidyY,https://api.spotify.com/v1/tracks/5Eh1nj7IjV9lwpcKAkidyY,https://api.spotify.com/v1/audio-analysis/5Eh1nj7IjV9lwpcKAkidyY,181482,4,Hot Hits Australia
17,6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",Popular (Music from the HBO Original Series),92,0.855,0.678,1,-6.276,1,0.189,0.0569,3.69e-05,0.412,0.852,99.029,audio_features,6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/tracks/6WzRpISELf3YglGAh7TXcG,https://api.spotify.com/v1/audio-analysis/6WzRpISELf3YglGAh7TXcG,215467,4,Hot Hits Australia
18,6Ea2oEzysv4UECGNxL1IEW,Eat Your Man (with Nelly Furtado),Dom Dolla,205i7E8fNVfojowcQSfK9m,65,"['australian house', 'deep groove house', 'house']",Eat Your Man (with Nelly Furtado),74,0.738,0.883,8,-7.989,1,0.0818,0.053,0.193,0.102,0.651,125.04,audio_features,6Ea2oEzysv4UECGNxL1IEW,https://api.spotify.com/v1/tracks/6Ea2oEzysv4UECGNxL1IEW,https://api.spotify.com/v1/audio-analysis/6Ea2oEzysv4UECGNxL1IEW,197165,4,Hot Hits Australia
19,2m6HgwjakjAXimujX8m4sk,BLEED,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,80,['australian hip hop'],THE FIRST TIME,73,0.566,0.417,10,-7.025,0,0.0256,0.647,0.0,0.188,0.669,174.798,audio_features,2m6HgwjakjAXimujX8m4sk,https://api.spotify.com/v1/tracks/2m6HgwjakjAXimujX8m4sk,https://api.spotify.com/v1/audio-analysis/2m6HgwjakjAXimujX8m4sk,169990,3,Hot Hits Australia
